ticker,price,iv,expiry,oi
RGNX,7.8,339.23%,2026-07-17,50
SLS,8.05,302.64%,2026-06-26,200
UNCY,6.85,300.78%,2026-07-17,7634
ZENA,1.42,289.65%,2026-07-17,129
LASE,2.32,269.12%,2026-06-26,465
DOMO,2.42,234.37%,2026-07-17,31540
EVMN,21.36,230.28%,2026-07-17,2560
SNDQ,2.86,220.50%,2026-07-17,352
OKLL,6.85,207.29%,2026-07-17,702
SOXS,3.59,203.79%,2026-07-31,1358
OPTU,1.15,202.60%,2026-07-17,287
SNXX,42.78,202.15%,2026-07-17,267
VLN,2.44,201.35%,2026-07-17,976
OTLK,1.58,193.93%,2026-07-17,1448
RXT,7.22,191.53%,2026-06-26,1262
SNAP,4.66,190.18%,2026-07-31,50
ASTX,24.26,187.64%,2026-07-17,242
MSTU,2.86,186.62%,2026-07-02,169
VIVO,5.45,185.77%,2026-07-17,2356
SPCH,18.97,181.02%,2026-07-17,85
QBTX,16.16,178.10%,2026-07-17,80
NEOV,2.78,176.99%,2026-07-17,366
IRE,29.85,176.82%,2026-07-17,90
SSPC,9.66,176.37%,2026-07-17,534
TE,9.35,175.83%,2026-07-02,6239
FRMI,9.5,175.58%,2026-06-26,115
LAES,3.12,175.03%,2026-06-26,2022
FCEL,24.04,174.61%,2026-06-26,69
DFTX,24.48,172.51%,2026-07-17,1944
WYFI,38.49,172.45%,2026-07-17,4979
FJET,5.22,172.21%,2026-07-17,717
QCML,30.31,171.80%,2026-07-17,437
OPEN,4.47,168.09%,2026-07-02,302
SIDU,3.23,164.99%,2026-07-17,3053
ORBS,1.03,162.06%,2026-07-17,11598
VELO,29.86,161.37%,2026-07-17,3107
VERU,2.95,160.42%,2026-07-17,1329
NUAI,6.25,159.53%,2026-07-24,96
CPSH,6.65,158.29%,2026-07-17,1861
PUSA,4.21,157.15%,2026-07-17,2037
SMCX,10.18,156.28%,2026-07-17,236
BMNU,1.0,155.81%,2026-07-17,2140
MSTX,13.08,155.41%,2026-06-26,755
ARQQ,24.38,155.09%,2026-07-17,657
MSOX,3.29,153.51%,2026-07-17,1142
CLOV,5.0,150.47%,2026-06-26,854
MSTZ,10.59,147.49%,2026-06-26,210
MX,5.92,145.64%,2026-07-17,359
SOC,10.12,144.47%,2026-07-02,1052
HYLN,8.1,143.59%,2026-07-17,1201
AMPG,8.99,143.24%,2026-07-17,6078
VNDA,5.8,142.64%,2026-07-17,113
SKLZ,8.84,141.94%,2026-07-17,643
BTDR,17.93,141.21%,2026-07-02,31056
CCCC,4.15,141.03%,2026-07-17,626
BTBT,2.17,140.99%,2026-07-02,670
AMC,2.83,140.69%,2026-07-17,12505
DGXX,6.75,140.01%,2026-07-17,552
ALMU,24.19,138.77%,2026-07-17,438
MRAM,27.11,138.56%,2026-07-17,2295
ABSI,7.41,137.52%,2026-07-17,185
BB,8.38,133.67%,2026-06-26,8632
CONL,5.4,133.62%,2026-07-17,516
KULR,3.96,133.33%,2026-07-17,1029
POET,12.15,133.12%,2026-07-31,124
HIVE,4.26,132.51%,2026-06-26,878
KOPN,4.93,132.50%,2026-07-17,455
BZAI,1.41,132.49%,2026-07-17,481
SPCE,3.56,131.69%,2026-06-26,2699
NRGV,4.1,131.05%,2026-07-17,1192
SATL,6.03,130.90%,2026-07-17,1013
TSHA,6.42,130.84%,2026-07-17,274
WYY,13.56,129.02%,2026-07-17,1844
AP,10.8,128.50%,2026-07-17,108
CHGG,1.05,128.49%,2026-07-17,12615
LABD,11.29,128.20%,2026-06-26,162
BCYC,4.0,127.42%,2026-07-17,403
SOFX,10.36,126.60%,2026-07-17,94
FLNC,24.8,126.34%,2026-07-17,3256
OUST,46.57,125.16%,2026-06-26,103
KURA,9.93,125.08%,2026-07-17,90
LWLG,9.78,124.38%,2026-07-17,495
NVTS,24.02,123.84%,2026-06-26,180
ALDX,1.96,122.84%,2026-06-26,278
USAU,15.85,122.48%,2026-07-17,2059
CMTL,2.4,121.56%,2026-07-17,545
NN,18.18,121.53%,2026-06-26,2126
QS,8.04,121.34%,2026-07-24,76
AIRJ,4.85,120.96%,2026-07-17,557
IMSR,8.51,120.82%,2026-07-17,4160
LPTH,15.15,120.50%,2026-07-17,231
AEVA,24.39,120.18%,2026-07-17,6273
SPRO,2.28,119.98%,2026-07-17,11230
MGNX,4.13,119.88%,2026-07-17,2905
UMAC,24.98,119.09%,2026-07-17,3001
EOSE,7.65,118.99%,2026-06-26,650
KEEL,6.29,118.65%,2026-07-10,267
XNDU,13.37,117.56%,2026-07-17,1114
AOSL,48.04,116.32%,2026-07-17,4772
WULF,28.98,116.14%,2026-07-17,21734
RDW,14.35,115.02%,2026-06-26,1421
OMER,10.28,114.94%,2026-07-17,241
PDYN,7.0,114.72%,2026-07-17,966
CIFR,29.18,114.64%,2026-07-10,297
LFVN,6.41,114.60%,2026-07-17,659
ALOY,17.78,113.91%,2026-07-17,200
ONDS,9.27,113.87%,2026-07-17,507
RCAT,11.44,113.58%,2026-06-26,864
VUZI,3.31,113.44%,2026-07-17,1436
RZLT,5.02,112.94%,2026-07-17,662
QNC,3.24,112.72%,2026-07-17,2164
HIMS,35.47,112.63%,2026-06-26,1037
RUM,7.36,112.34%,2026-06-26,1000
PURR,9.28,112.24%,2026-07-17,7102
BFLY,8.9,112.21%,2026-07-17,1489
VRDN,16.63,112.18%,2026-07-17,271
ACHV,4.85,111.76%,2026-07-17,1087
ETHU,13.5,111.61%,2026-06-26,109
