ticker,price,change,volume
ZYME,23.88,2.67%,623,541
ZWS,48.26,-2.78%,808,424
ZVRA,13.00,2.77%,1,372,776
ZURA,4.30,1.77%,1,247,539
ZTO,21.98,-1.12%,1,345,233
ZLAB,18.49,0.05%,1,669,916
ZIM,25.43,0.63%,1,047,023
ZGN,13.12,-2.96%,1,056,660
ZG,30.56,0.33%,2,035,656
ZETA,19.51,5.63%,16,202,568
ZD,46.40,2.38%,854,218
ZBIO,20.20,-2.86%,513,353
Z,30.50,0.63%,3,409,774
YUMC,40.96,-1.37%,1,757,312
YSWY,21.62,4.09%,803,920
YSS,28.56,-1.38%,978,255
YPF,48.04,-2.89%,1,461,968
YMM,7.64,-3.17%,4,404,949
YEXT,3.93,-0.25%,1,552,317
YETI,47.97,0.06%,1,383,224
YELP,22.67,0.89%,986,133
XXI,5.72,-0.35%,1,358,251
XRX,3.14,2.61%,7,489,302
XRAY,10.20,0.49%,4,456,709
XPRO,13.40,-3.39%,866,359
XPOF,6.82,3.18%,693,897
XPEV,12.76,-4.42%,9,820,145
XP,15.72,-1.69%,4,011,126
XNDU,12.23,-2.47%,3,231,136
XNCR,14.08,0.50%,1,142,136
XMAX,8.60,5.13%,860,363
XIFR,11.54,-1.28%,886,770
XHR,20.03,-0.35%,825,782
XERS,7.20,4.35%,1,978,332
XE,21.09,4.64%,3,359,833
WYFI,44.76,-0.02%,4,537,750
WY,24.44,0.78%,4,541,247
WWW,16.76,-3.23%,1,346,611
WVE,6.04,-2.11%,2,360,374
WULF,28.78,1.66%,24,386,473
WU,7.03,-0.85%,9,867,863
WTTR,18.55,0.38%,1,527,012
WTRG,37.29,1.66%,1,625,984
WTI,3.33,0.60%,3,051,343
WT,18.33,-1.77%,3,118,665
WSR,18.94,-0.05%,285,626
WSE,11.15,2.86%,1,287,910
WSC,27.85,-4.06%,1,979,677
WSBC,37.28,1.58%,1,202,919
WRN,2.20,-5.58%,1,153,167
WRD,5.75,-4.64%,2,587,216
WRBY,25.64,-5.00%,3,144,295
WPP,16.94,-6.05%,2,586,804
WOOF,2.52,1.20%,2,208,030
WOLF,48.91,-7.66%,5,001,331
WNC,12.60,4.48%,1,193,980
WMG,27.54,0.25%,1,766,637
WLTH,8.21,-0.12%,2,034,519
WKC,31.94,0.82%,1,115,839
WK,46.98,2.17%,973,396
WIX,40.43,-3.42%,1,526,366
WIT,2.29,2.23%,15,555,217
WHR,36.19,-1.04%,2,463,029
WHK,27.65,0.44%,155,635
WGO,28.28,-0.14%,728,108
WEST,9.08,0.33%,731,469
WES,43.51,1.23%,848,263
WERN,41.03,0.42%,962,445
WEN,6.26,1.38%,7,543,469
WEAV,5.44,5.43%,990,330
WDS,19.76,-2.47%,1,160,291
WBI,28.59,-4.64%,2,712,270
WBD,26.88,-0.26%,21,614,933
WB,7.32,-0.54%,737,754
WAY,18.41,6.35%,3,578,221
WAFD,37.26,1.25%,499,387
VZLA,3.35,-4.83%,5,299,131
VZ,46.73,3.02%,22,629,174
VYX,7.00,-0.28%,1,937,627
VVV,38.32,2.08%,1,522,617
VVR,2.98,0.00%,295,651
VTS,16.14,0.94%,506,547
VTRS,15.75,2.41%,8,809,654
VTEX,3.50,-2.23%,3,719,601
VSTS,13.20,0.69%,1,384,404
VSTM,4.21,-0.94%,2,533,248
VSNT,37.88,-1.69%,2,087,685
VRRM,4.40,-1.57%,6,253,474
VRNS,35.03,7.09%,9,761,312
VRDN,17.28,-1.99%,1,662,643
VOYG,33.60,-2.81%,2,082,020
VOR,14.85,-0.60%,1,260,888
VOD,14.05,-0.50%,3,842,814
VNT,30.07,-1.28%,2,026,957
VNOM,43.68,0.28%,1,573,286
VNO,37.65,0.19%,1,139,908
VNET,8.36,-2.22%,3,158,812
VNDA,5.95,-0.83%,581,970
VLY,14.38,0.98%,5,545,266
VLRS,9.20,1.32%,722,514
VKTX,34.81,7.54%,6,212,698
VIV,13.22,1.69%,1,069,271
VITL,10.68,5.95%,2,276,220
VISN,12.50,-2.95%,5,129,816
VIR,10.16,6.17%,2,533,878
VIPS,13.17,-0.53%,2,007,076
VICI,26.62,2.03%,14,428,534
VIAV,49.97,-5.61%,4,681,379
VIA,15.04,0.67%,965,882
VGZ,2.08,-9.57%,2,450,546
VGNT,42.70,-6.01%,1,507,491
VG,11.21,-0.44%,10,735,009
VFS,3.16,2.60%,327,349
VFC,16.91,-0.70%,5,182,960
VET,9.84,-0.30%,1,539,708
VERX,10.92,3.21%,1,360,650
VERA,38.20,-0.60%,1,928,147
VELO,20.66,-15.01%,4,042,963
VCEL,40.39,-0.20%,430,145
VALE,15.31,-2.55%,28,251,197
UWMC,2.03,-0.98%,19,260,375
UUUU,15.47,-4.03%,16,433,036
UTZ,7.05,2.92%,2,087,159
UTI,39.75,-0.67%,604,157
USAS,4.90,-8.07%,3,843,361
USAR,22.89,-5.10%,11,459,658
USA,5.65,-1.22%,1,774,833
UROY,2.91,-1.02%,1,929,183
URGN,35.15,0.46%,465,289
URG,1.41,-1.40%,9,247,021
UPWK,8.21,4.72%,3,518,523
UPST,31.46,0.45%,3,320,588
UPBD,18.69,2.02%,861,529
UPB,6.32,0.32%,623,889
UNIT,11.51,2.77%,1,575,576
UMH,15.15,1.20%,505,980
UMC,26.20,-4.73%,25,491,470
UMAC,21.51,-4.70%,2,961,099
ULCC,7.25,1.54%,3,286,313
UGP,4.94,1.02%,2,746,149
UGI,34.72,2.75%,2,624,396
UEC,11.34,-1.13%,8,759,876
UE,22.92,2.55%,1,288,322
UDR,38.28,1.43%,4,607,175
UCB,34.04,1.98%,1,031,696
UBSI,45.29,0.76%,1,305,149
UAMY,7.01,-10.13%,5,500,850
UAA,5.78,-2.20%,5,122,340
UA,5.61,-2.09%,2,350,645
U,27.61,1.73%,7,723,231
TYRA,30.06,-0.27%,998,078
TXG,31.87,-3.25%,3,294,291
TWO,12.32,0.82%,1,189,530
TWI,7.28,-3.70%,694,382
TV,2.71,-0.73%,1,113,218
TUYA,1.84,0.00%,775,944
TU,11.49,1.32%,3,926,096
TTI,10.13,-2.03%,1,042,344
TTEK,28.04,3.28%,5,187,014
TTD,17.93,-0.50%,22,853,288
TSSI,12.72,-4.36%,626,800
TSLX,16.49,1.48%,695,164
TSHA,6.86,5.05%,1,985,051
TSCO,29.68,-0.44%,12,078,462
TRVI,17.38,-1.86%,3,276,559
TRTX,8.65,1.29%,933,094
TRS,43.10,-2.84%,476,660
TROX,6.68,-8.99%,2,417,533
TRON,1.52,-6.17%,846,999
TRN,35.07,-0.17%,846,154
TRMD,29.14,-3.73%,4,849,607
TRMB,49.19,-0.08%,2,902,861
TRLV,8.53,-6.47%,2,517,777
TRIP,12.39,0.24%,3,813,859
TRIN,16.89,0.06%,812,110
TREX,45.34,-2.28%,1,690,951
TPG,39.58,-3.91%,3,504,706
TOWN,35.54,1.54%,433,325
TOST,24.51,1.03%,7,004,689
TOI,5.03,0.40%,1,155,188
TNGX,28.39,-0.39%,5,385,395
TNDM,14.41,0.49%,3,182,568
TMQ,3.56,-3.78%,1,263,894
TME,8.20,-1.68%,9,760,163
TMC,4.82,-2.63%,4,164,466
TLS,4.34,1.17%,558,320
TLRY,4.61,0.44%,2,595,431
TLK,14.43,2.20%,984,639
TKC,6.04,-0.49%,723,748
TK,12.45,1.06%,543,864
TILE,32.41,0.15%,358,638
TIGR,4.65,-2.11%,2,683,322
TIC,8.17,1.24%,1,178,217
THM,2.05,-7.66%,595,413
TH,20.52,1.89%,1,539,149
TGB,6.69,-3.88%,3,565,604
TFSL,16.88,1.63%,858,287
TFPM,28.80,-3.55%,547,474
TFC,49.67,1.87%,14,315,244
TEVA,33.21,3.14%,5,566,802
TENX,13.64,11.35%,1,018,445
TENB,27.26,3.49%,2,301,097
TEM,48.61,1.59%,4,966,781
TE,9.24,-11.15%,30,739,166
TDUP,6.21,5.08%,1,249,945
TDS,39.07,0.33%,639,404
TDOC,7.69,1.45%,3,673,269
TDC,31.16,5.02%,4,166,641
TDAY,8.02,3.35%,1,348,749
TCOM,45.50,-1.98%,3,450,746
TBLA,4.67,5.18%,2,333,429
TBBB,42.09,0.96%,539,159
TASK,4.69,-6.01%,885,935
TAP,39.71,0.18%,2,769,408
TALO,13.96,-0.71%,1,503,110
TALK,5.20,-0.19%,4,276,946
TAL,9.44,-0.32%,3,196,484
TAK,15.84,2.39%,3,126,623
TAC,13.69,-1.16%,939,025
T,22.81,3.21%,73,411,571
SYM,38.57,-4.05%,2,472,823
SXC,8.37,0.00%,1,399,545
SWMR,41.45,-8.17%,263,266
SWIM,5.88,2.08%,659,568
SWBI,16.67,1.34%,1,515,928
SW,44.36,-2.27%,4,458,281
SVV,9.71,0.73%,874,368
SVRA,5.78,1.58%,1,856,520
SVM,10.58,-5.28%,2,680,274
SVC,1.71,3.01%,7,271,687
SUZ,8.04,-2.07%,2,711,292
SUPV,10.12,-1.94%,1,545,594
SUPN,44.48,0.00%,526,311
STWD,16.74,0.60%,4,415,775
STVN,16.87,-0.41%,294,587
STUB,11.83,3.77%,8,289,169
STTK,5.39,2.86%,577,112
STOK,31.11,0.45%,1,182,681
STNE,10.72,-0.19%,3,365,146
STLA,5.96,-6.58%,26,193,261
STGW,7.04,5.71%,1,564,614
STEP,42.93,-5.57%,1,034,049
STAG,38.88,0.78%,1,606,422
STAA,28.36,-1.63%,584,127
ST,48.81,-5.59%,1,446,014
SSYS,8.32,-3.59%,623,882
SSRM,29.26,-4.75%,3,050,960
SSMR,13.10,-5.62%,126,407
SSL,11.11,-1.59%,2,176,393
SRTA,5.57,-3.13%,1,165,891
