ticker,price,change,volume
ZYME,24.31,1.80%,229,412
ZVRA,13.04,0.31%,645,114
ZURA,4.22,-1.97%,674,052
ZTO,21.89,-0.41%,887,453
ZLAB,18.34,-0.81%,662,934
ZIM,25.12,-1.22%,626,406
ZGN,13.21,0.72%,725,353
ZG,30.92,1.19%,1,201,642
ZETA,18.54,-4.98%,7,284,766
ZD,48.17,3.80%,502,036
ZBIO,21.54,6.61%,579,702
Z,31.00,1.62%,2,544,058
YUMC,41.08,0.31%,1,099,359
YSWY,20.77,-3.92%,194,409
YSS,25.13,-12.00%,1,089,739
YPF,45.63,-5.01%,1,692,386
YMM,7.82,2.31%,4,692,318
YEXT,4.13,5.09%,720,983
YETI,49.53,3.26%,521,887
YELP,23.35,2.98%,490,205
XXI,5.39,-5.86%,951,232
XRX,3.12,-0.64%,1,670,610
XRAY,10.39,1.86%,2,564,285
XPRO,13.05,-2.61%,1,105,655
XPOF,6.81,-0.15%,410,675
XPEV,12.48,-2.20%,3,508,843
XP,15.64,-0.53%,2,519,238
XNDU,11.72,-4.21%,1,493,159
XNCR,14.44,2.56%,483,637
XMAX,8.26,-3.95%,818,901
XIFR,11.55,0.04%,471,420
XHR,20.10,0.34%,447,256
XERS,7.43,3.23%,1,084,603
XE,18.79,-10.91%,3,336,342
WYFI,36.86,-17.65%,3,511,747
WY,25.52,4.43%,4,086,186
WWW,17.33,3.37%,405,213
WVE,6.01,-0.41%,2,431,716
WULF,25.99,-9.69%,23,637,034
WU,7.22,2.70%,4,592,895
WTTR,18.18,-2.00%,893,552
WTRG,37.94,1.74%,1,182,177
WTI,3.09,-7.35%,2,581,806
WT,17.85,-2.59%,2,610,084
WSR,18.94,0.03%,245,963
WSE,10.90,-2.25%,1,263,490
WSC,28.45,2.15%,810,687
WSBC,38.04,2.04%,792,443
WRN,2.05,-6.82%,2,523,068
WRD,5.57,-3.15%,1,674,079
WRBY,26.84,4.68%,1,999,373
WPP,16.58,-2.15%,796,559
WOOF,2.62,3.97%,1,370,034
WOLF,43.81,-10.43%,3,797,300
WNC,13.09,3.85%,1,029,912
WMG,27.01,-1.91%,1,049,180
WLTH,8.08,-1.58%,737,990
WKC,31.87,-0.22%,343,536
WK,48.19,2.58%,419,573
WIX,42.14,4.24%,907,497
WIT,2.22,-3.10%,7,599,249
WHR,37.88,4.67%,1,446,041
WHK,26.98,-2.42%,183,439
WGO,27.17,-3.94%,1,563,663
WEST,9.68,6.55%,549,497
WES,42.65,-1.99%,694,602
WERN,40.98,-0.12%,519,056
WEN,7.85,25.50%,188,139,964
WEAV,5.46,0.36%,637,424
WDS,19.07,-3.47%,825,460
WBI,28.28,-1.08%,1,233,436
WBD,27.23,1.28%,27,830,078
WB,7.30,-0.34%,500,780
WAY,18.93,2.82%,1,372,980
WAFD,37.68,1.13%,318,711
VZLA,3.05,-8.96%,5,200,626
VZ,45.88,-1.81%,14,903,526
VYX,7.55,7.79%,1,577,141
VVV,39.62,3.38%,1,134,836
VVR,2.99,0.50%,310,979
VTS,15.61,-3.28%,329,792
VTRS,15.91,0.99%,4,649,616
