ticker,price,change,volume
ZYME,24.33,1.88%,269,893
ZWS,49.88,3.37%,671,704
ZVRA,13.14,1.08%,721,372
ZURA,4.25,-1.29%,718,072
ZTO,21.89,-0.43%,1,091,245
ZLAB,18.43,-0.35%,744,373
ZIM,25.38,-0.20%,696,377
ZGN,13.00,-0.91%,884,388
ZG,30.68,0.40%,1,297,833
ZETA,18.87,-3.28%,8,377,151
ZD,47.98,3.41%,579,321
ZBIO,21.92,8.48%,620,593
Z,30.76,0.87%,2,821,590
YUMC,41.01,0.13%,1,241,741
YSWY,20.78,-3.87%,231,592
YSS,24.70,-13.52%,1,437,654
YPF,45.56,-5.16%,1,956,349
YMM,7.79,2.01%,5,280,526
YEXT,4.12,4.96%,833,182
YETI,49.47,3.13%,595,236
YELP,23.32,2.89%,570,706
XXI,5.38,-6.03%,1,032,616
XRX,3.14,0.00%,1,817,089
XRAY,10.44,2.30%,2,845,003
XPRO,13.06,-2.51%,1,276,378
XPOF,6.90,1.11%,514,434
XPEV,12.47,-2.31%,3,852,685
XP,15.58,-0.88%,2,909,669
XNDU,11.79,-3.59%,1,564,342
XNCR,14.44,2.59%,552,512
XMAX,8.40,-2.38%,899,262
XIFR,11.59,0.39%,553,087
XHR,20.11,0.40%,511,736
XERS,7.36,2.29%,1,172,041
XE,19.02,-9.83%,3,650,961
WYFI,38.56,-13.86%,3,844,477
WY,25.35,3.74%,4,550,219
WWW,17.45,4.12%,464,383
WVE,6.03,-0.25%,2,791,015
WULF,26.62,-7.49%,26,146,652
WU,7.24,2.99%,5,148,471
WTTR,18.17,-2.06%,1,060,709
WTRG,37.90,1.62%,1,404,059
WTI,3.11,-6.73%,2,776,024
WT,17.88,-2.48%,2,814,938
WSR,18.95,0.05%,281,583
WSE,10.97,-1.61%,1,623,121
WSC,28.55,2.50%,940,159
WSBC,37.96,1.82%,890,625
WRN,2.05,-6.82%,2,765,105
WRD,5.56,-3.29%,1,817,951
WRBY,26.64,3.91%,2,286,743
WPP,16.59,-2.07%,845,453
WOOF,2.60,3.17%,1,525,423
WOLF,44.98,-8.04%,4,080,448
WNC,13.00,3.17%,1,147,612
WMG,26.89,-2.37%,1,280,557
WLTH,8.10,-1.28%,951,888
WKC,31.48,-1.44%,506,930
WK,48.04,2.26%,516,831
WIX,42.49,5.11%,1,024,039
WIT,2.22,-3.06%,9,015,895
WHR,37.95,4.86%,1,642,045
WHK,26.97,-2.46%,188,233
WGO,26.94,-4.74%,1,872,280
WEST,9.66,6.34%,617,462
WES,42.53,-2.25%,795,497
WERN,40.80,-0.57%,593,170
WEN,7.91,26.41%,195,115,439
WEAV,5.43,-0.27%,726,515
WDS,19.06,-3.57%,926,088
WBI,28.28,-1.08%,1,656,691
WBD,27.15,1.00%,29,134,299
WB,7.29,-0.41%,601,581
WAY,19.08,3.67%,1,608,371
WAFD,37.71,1.21%,361,672
VZLA,3.09,-7.91%,5,563,744
VZ,45.71,-2.18%,16,501,049
VYX,7.47,6.70%,1,895,900
VVV,39.52,3.12%,1,341,289
VVR,3.00,0.67%,321,711
VTS,15.54,-3.72%,375,506
VTRS,15.83,0.53%,5,411,926
VTEX,3.66,4.51%,3,398,941
VSTS,13.44,1.78%,775,069
VSTM,3.89,-7.48%,2,158,488
VSNT,38.09,0.56%,882,020
VRRM,4.45,1.02%,4,445,918
VRNS,36.98,5.57%,2,792,278
VRDN,17.32,0.26%,784,553
VOYG,30.30,-9.84%,1,953,609
VOR,14.52,-2.19%,556,349
VOD,13.81,-1.67%,2,197,282
VNT,30.11,0.13%,1,030,540
VNOM,43.21,-1.07%,1,095,380
VNO,37.90,0.66%,1,112,769
VNET,8.11,-2.93%,1,800,113
VNDA,5.89,-0.94%,584,593
VLY,14.56,1.22%,3,821,342
VLRS,9.16,-0.38%,638,191
VKTX,37.63,8.12%,4,675,515
VIV,13.18,-0.34%,851,154
VITL,10.97,2.73%,1,454,188
VISN,12.55,0.38%,2,444,393
VIR,10.02,-1.34%,1,760,008
VIPS,13.40,1.75%,1,882,291
VICI,26.86,0.92%,16,592,162
VIAV,49.33,-1.28%,5,364,290
VIA,14.98,-0.38%,621,670
VGNT,41.57,-2.64%,1,185,748
VG,10.34,-7.81%,10,712,631
VFS,3.12,-1.13%,383,557
VFC,17.16,1.46%,4,871,253
VET,9.36,-4.83%,1,157,065
VERX,11.19,2.47%,768,591
VERA,39.57,3.59%,1,845,476
VELO,18.05,-12.66%,3,044,416
VCEL,41.69,3.22%,479,125
VALE,14.82,-3.17%,22,193,457
UWMC,2.03,0.00%,21,662,733
UUUU,14.84,-4.10%,9,936,286
UTZ,7.26,3.05%,1,409,133
UTI,39.35,-0.99%,307,887
USAS,4.53,-7.55%,3,989,746
USAR,21.27,-7.06%,11,104,714
USA,5.66,0.18%,1,356,355
UROY,2.78,-4.64%,1,360,953
URGN,34.75,-1.14%,356,081
