ticker,price,change,volume
ZYME,26.72,5.49%,771,613
ZWS,47.46,-3.44%,1,076,409
ZVRA,14.44,3.36%,1,874,876
ZURA,5.08,-5.22%,1,261,288
ZTO,23.17,0.61%,1,013,691
ZNTL,4.78,1.27%,1,092,010
ZLAB,19.35,1.42%,605,213
ZIP,3.93,0.77%,699,215
ZIM,23.92,0.89%,1,486,209
ZGN,13.62,1.04%,1,755,870
ZG,32.69,-0.79%,1,185,904
ZETA,21.87,0.23%,12,039,718
ZBIO,27.68,4.65%,897,950
Z,32.78,-0.55%,3,175,178
YUMC,42.22,-0.64%,1,675,992
YSWY,19.99,-4.31%,301,626
YSS,22.92,-2.76%,692,334
YPF,47.13,2.19%,1,539,922
YMM,8.35,-3.69%,3,903,170
YEXT,5.13,2.81%,1,099,606
YETI,48.68,0.54%,908,934
YELP,26.55,0.80%,1,194,338
XXI,5.50,-3.85%,973,982
XRX,2.67,-7.29%,4,487,955
XRAY,12.19,-1.06%,4,416,751
XPRO,14.35,2.35%,766,749
XPOF,6.91,1.47%,659,512
XPEV,13.17,-2.88%,4,843,066
XP,15.97,-2.62%,10,976,382
XNDU,11.30,-4.07%,1,518,632
XNCR,15.67,5.24%,719,144
XMAX,8.72,-2.68%,1,172,370
XIFR,12.53,0.72%,1,361,386
XHR,20.23,0.25%,725,165
XFOR,3.94,-2.23%,527,125
XERS,8.94,6.81%,3,474,993
XE,16.54,-9.72%,6,701,807
WYFI,33.42,-5.97%,2,374,369
WY,23.29,-0.47%,4,262,923
WWW,17.16,0.94%,680,656
WVE,6.38,0.95%,2,735,428
WULF,20.24,-8.87%,51,098,779
WU,7.95,-0.38%,9,825,564
WTTR,18.65,3.04%,2,300,885
WTRG,39.08,1.09%,1,459,198
WTI,3.31,7.12%,4,303,818
WT,18.49,0.22%,2,789,302
WSR,18.97,0.00%,232,377
WSE,13.03,-0.84%,888,505
WSC,25.67,-3.13%,1,782,889
WSBC,39.31,-2.09%,1,090,782
WRN,2.15,-5.70%,2,187,625
WRD,5.43,-3.55%,1,913,873
WRBY,28.04,-4.04%,2,210,495
WPP,17.81,2.59%,351,373
WOOF,2.53,-1.94%,1,474,640
WOLF,36.00,-8.79%,5,876,877
WNC,12.29,-5.46%,954,079
WMG,28.44,3.80%,2,608,454
WLTH,9.47,-0.84%,1,045,214
WKC,33.12,-0.15%,810,678
WIT,1.85,0.54%,12,834,428
WHR,37.12,-2.42%,2,600,703
WGO,30.88,0.68%,725,403
WEST,7.21,3.15%,614,867
WES,44.80,2.54%,771,655
WERN,43.32,0.77%,839,508
WEN,7.78,-1.52%,13,950,630
WEAV,6.81,1.64%,1,250,788
WDS,19.82,2.11%,729,258
WBI,33.54,4.29%,679,906
WBD,26.12,0.00%,10,354,069
WB,7.47,-1.32%,710,587
WAY,23.81,-0.42%,2,750,557
WAFD,37.65,-1.34%,393,608
VZLA,3.09,-5.50%,7,051,514
VZ,42.59,1.24%,34,505,759
VYX,8.52,-2.74%,3,803,575
VVV,38.85,0.67%,1,705,433
VVR,3.00,0.00%,504,912
VTS,15.75,4.93%,517,747
VTRS,16.96,0.95%,9,797,568
VTEX,4.12,-0.24%,698,433
