ticker,price,change,volume
ZYME,26.13,-2.22%,162,665
ZWS,46.61,-1.79%,237,924
ZVRA,14.24,-1.38%,358,695
ZURA,5.24,3.15%,556,694
ZTO,23.17,-0.02%,324,470
ZNTL,4.78,-0.10%,422,212
ZLAB,19.15,-1.01%,728,047
ZIP,3.88,-1.39%,178,921
ZIM,23.92,0.00%,539,010
ZGN,13.23,-2.86%,390,383
ZG,31.40,-3.95%,368,116
ZETA,21.33,-2.47%,3,671,168
ZBIO,26.94,-2.68%,132,858
Z,31.42,-4.15%,919,132
YUMC,42.78,1.31%,705,867
YSWY,20.05,0.29%,62,749
YSS,22.05,-3.80%,296,055
YPF,48.98,3.92%,1,843,823
YMM,8.47,1.49%,2,441,271
YEXT,5.02,-2.14%,386,722
YETI,46.85,-3.76%,136,946
YELP,25.90,-2.44%,297,930
XXI,5.28,-4.09%,371,734
XRX,2.63,-1.31%,1,074,097
XRAY,11.73,-3.80%,1,700,390
XPRO,14.64,2.02%,169,881
XPEV,13.16,-0.08%,2,844,937
XP,15.31,-4.10%,3,626,459
XNDU,11.07,-2.04%,456,676
XNCR,15.88,1.31%,261,259
XMAX,8.64,-0.92%,288,116
XIFR,12.35,-1.47%,281,708
XHR,19.78,-2.25%,128,731
XFOR,3.92,-0.51%,181,883
XERS,8.59,-3.92%,1,277,771
XE,16.58,0.24%,1,762,846
WYFI,36.22,8.38%,1,940,303
WY,22.65,-2.77%,1,817,181
WWW,16.51,-3.81%,189,888
WVE,6.27,-1.74%,800,941
WULF,21.73,7.36%,23,821,382
WU,7.66,-3.63%,1,881,162
WTTR,18.94,1.55%,321,142
WTRG,38.98,-0.26%,335,155
WTI,3.65,10.27%,5,137,347
WT,18.51,0.13%,568,838
WSR,18.97,0.00%,196,384
WSE,12.83,-1.57%,425,082
WSC,25.09,-2.25%,388,321
WSBC,38.46,-2.16%,236,105
WRN,2.09,-2.79%,930,841
WRD,5.37,-1.19%,837,050
WRBY,27.15,-3.18%,995,777
WPP,17.03,-4.37%,191,174
WOOF,2.59,2.37%,815,631
WOLF,34.78,-3.39%,1,831,960
WNC,12.15,-1.14%,322,035
WMG,28.87,1.51%,1,264,339
WLTH,8.68,-8.31%,700,099
WKC,33.77,1.96%,253,977
WIX,47.58,-5.53%,467,330
WIT,1.83,-1.08%,3,229,178
WHR,36.52,-1.62%,1,117,535
WGO,28.61,-7.34%,558,494
WEST,6.94,-3.71%,191,557
WES,45.04,0.53%,159,043
WERN,41.92,-3.23%,226,838
WEN,7.41,-4.69%,7,240,299
WEAV,6.78,-0.43%,426,046
WDS,20.25,2.18%,386,148
WBI,33.81,0.81%,363,142
WBD,26.30,0.67%,4,203,579
WB,7.59,1.67%,400,459
WAY,22.76,-4.41%,573,090
WAFD,37.09,-1.48%,134,599
VZLA,2.92,-5.61%,3,430,257
VZ,42.91,0.74%,8,342,948
VYX,7.86,-7.78%,815,362
VVV,37.17,-4.34%,424,801
VVR,3.00,0.00%,187,748
VTS,15.93,1.17%,151,686
VTRS,16.49,-2.80%,2,606,628
VTEX,3.96,-3.76%,162,810
VSTS,13.99,-0.84%,432,643
VSTM,4.76,-1.96%,1,745,089
VSNT,36.94,-1.21%,298,207
VSH,41.13,-2.51%,2,898,375
VRRM,4.24,0.50%,1,402,271
VRNS,44.56,-2.80%,699,734
VRDN,19.70,-3.75%,587,970
VOYG,33.72,5.74%,621,396
VOR,19.41,-3.46%,844,898
VOD,13.07,0.15%,2,445,863
VNT,28.33,-0.55%,400,346
VNOM,42.53,2.19%,514,659
VNO,37.72,-4.36%,502,815
VNET,8.28,7.39%,2,297,654
VNDA,6.53,2.12%,410,552
VLY,14.40,-3.19%,2,216,996
VLRS,8.42,-7.27%,363,741
VKTX,39.31,-6.70%,1,468,887
VIV,13.34,0.41%,317,864
VITL,12.42,-5.57%,611,609
VISN,12.02,-0.37%,1,971,030
VIR,10.14,-1.07%,443,434
VIPS,13.73,1.44%,786,583
VICI,26.28,-1.81%,2,550,692
VIAV,39.48,-1.84%,1,349,139
VIA,17.26,-5.42%,284,444
VGNT,39.96,0.39%,567,604
VG,12.60,8.67%,12,656,877
VFS,3.04,-2.41%,107,031
VFC,15.73,-4.35%,2,405,356
VET,9.44,4.31%,726,780
VERX,12.66,-5.53%,360,590
VERA,41.51,-3.38%,2,101,001
VELO,13.15,-3.13%,902,699
VCEL,47.06,0.24%,153,672
VALE,14.00,-4.70%,21,451,160
UWMC,2.03,-1.27%,7,771,947
UUUU,12.81,-0.43%,3,057,702
UTZ,8.01,-1.81%,264,185
UTI,49.33,-3.64%,213,422
USAS,4.12,-5.82%,1,767,019
USAR,18.25,2.64%,5,204,007
USA,5.85,-0.51%,942,494
UROY,2.61,-1.70%,799,757
URGN,37.25,-1.31%,212,661
URG,1.26,-1.97%,3,416,839
UPWK,8.64,-2.64%,787,998
UPST,31.25,-5.47%,2,060,642
UPBD,19.35,-5.66%,226,751
UPB,7.68,-2.24%,165,616
UNIT,11.02,2.27%,367,920
UNFI,47.19,-0.12%,154,920
UMH,15.22,-1.23%,106,578
UMC,24.59,3.18%,8,761,929
UMAC,20.04,-0.05%,1,417,163
ULCC,7.07,-4.01%,2,244,858
UGP,5.59,2.66%,2,557,653
UGI,35.52,0.71%,309,275
UEC,9.60,-2.98%,3,646,435
UE,23.07,0.06%,157,645
UDR,39.99,-3.03%,759,803
UCB,34.61,-1.95%,207,178
UBSI,45.22,-1.99%,359,516
UAMY,6.53,-3.97%,2,656,290
UAA,6.40,-5.04%,3,137,380
UA,6.25,-4.87%,1,123,991
U,28.75,-3.08%,1,806,922
TYRA,31.95,0.03%,171,219
TXG,35.67,-5.72%,1,015,724
TWO,12.08,0.00%,177,501
TWI,7.07,-3.41%,205,843
TV,2.71,-0.18%,238,611
TUYA,1.86,-5.36%,293,970
TU,10.47,0.36%,2,104,920
TTI,9.41,1.62%,470,884
TTEK,30.70,-0.74%,1,125,456
TTD,18.97,-1.12%,4,335,107
TSSI,11.16,-0.21%,173,699
TSLX,17.02,-0.58%,211,876
TSHA,6.36,-2.18%,607,020
TSCO,29.38,-3.47%,2,594,802
TRVI,18.38,-5.74%,940,461
TRTX,8.40,-0.18%,112,521
TROX,5.99,-2.08%,623,625
TRON,1.48,-4.01%,322,454
TRN,34.02,0.27%,101,760
TRMD,28.87,1.83%,335,324
TRLV,8.66,-2.97%,433,331
TRIP,13.09,-4.63%,1,029,199
TRIN,17.17,-1.74%,590,255
TREX,45.30,-3.85%,642,816
TPG,41.45,-2.29%,394,160
TOWN,35.46,-1.67%,128,384
TOST,28.49,-3.78%,4,525,938
TOI,5.76,-0.78%,1,131,622
TNGX,30.83,2.34%,1,459,086
TNDM,15.16,-1.74%,401,033
TMQ,3.07,-4.95%,873,910
TME,8.76,1.57%,3,609,461
TMC,3.90,-3.47%,2,931,220
TLS,4.73,-0.21%,186,403
TLRY,4.32,0.35%,2,057,165
TLK,14.01,0.39%,194,579
TKC,5.68,-1.47%,1,384,311
TK,10.93,2.05%,156,513
TILE,31.54,-6.24%,272,496
TIGR,4.53,0.11%,1,383,681
TIC,7.84,-0.82%,851,518
THM,2.08,-4.82%,175,541
TH,18.24,1.50%,279,839
TGB,6.34,-2.99%,3,839,601
TFSL,17.38,-2.25%,209,653
TFPM,27.48,-5.83%,353,157
TFC,49.49,-3.65%,2,598,903
TEVA,32.65,-5.76%,2,437,966
TEO,13.01,0.46%,56,233
TENX,17.05,-1.90%,564,493
TENB,39.31,-3.23%,1,069,865
TE,6.72,-3.38%,15,900,179
TDUP,6.29,-8.10%,1,616,063
TDS,35.32,0.23%,191,518
TDOC,9.13,-4.08%,1,418,073
TDC,35.57,-2.44%,514,617
TDAY,8.54,-0.45%,448,330
TCOM,41.39,1.42%,1,346,814
TBPH,17.00,-0.06%,202,547
TBLA,5.43,0.09%,874,320
TBBB,40.75,0.34%,83,181
TASK,5.09,-1.93%,106,683
TAP,39.06,-0.53%,1,148,816
TALO,14.24,4.78%,555,619
TALK,5.21,0.00%,858,115
TAL,10.18,2.12%,859,267
TAK,16.75,-1.22%,831,143
TAC,14.12,0.46%,586,861
T,21.26,0.81%,27,530,233
SYM,40.39,-2.25%,533,655
SXC,8.06,1.90%,294,353
SWMR,41.95,4.33%,308,573
SWIM,5.80,-1.80%,354,209
SWBI,15.34,-0.62%,154,007
SW,41.80,-7.11%,3,612,206
SVV,9.35,-2.90%,84,389
SVRA,6.22,0.15%,444,760
SVM,8.91,-4.86%,1,713,352
SVCO,10.75,7.93%,249,179
SVC,8.69,-0.23%,842,342
SUZ,7.83,-2.28%,1,666,408
SUPV,9.66,-1.32%,74,191
SUPN,47.94,-0.00%,315,575
STWD,16.45,-1.00%,1,074,212
STUB,12.79,-5.45%,2,009,103
STTK,7.10,-2.17%,330,886
STOK,31.91,-3.36%,158,327
STNE,10.56,-1.17%,1,958,549
STLA,5.35,-5.39%,12,379,705
STGW,7.80,1.30%,366,503
STEP,42.44,-1.01%,239,027
