ticker,price,change,volume
ZYME,27.07,0.00%,0
ZWS,46.77,0.00%,0
ZVRA,13.94,0.00%,0
ZURA,5.51,0.00%,0
ZTO,23.45,0.00%,0
ZNTL,4.70,0.00%,0
ZLAB,19.98,0.00%,0
ZIP,3.92,0.00%,0
ZIM,24.14,0.00%,0
ZGN,13.57,0.00%,0
ZG,33.21,0.00%,0
ZETA,21.92,0.00%,0
ZBIO,29.43,0.00%,0
Z,33.44,0.00%,0
YUMC,42.31,0.00%,0
YSWY,20.41,0.00%,0
YSS,20.58,0.00%,0
YPF,47.04,0.00%,0
YMM,8.58,0.00%,0
YEXT,5.06,0.00%,0
YETI,49.34,0.00%,0
YELP,25.55,0.00%,0
XXI,5.22,0.00%,0
XRX,2.78,0.00%,0
XRAY,11.89,0.00%,0
XPRO,14.83,0.00%,0
XPOF,6.86,0.00%,0
XPEV,12.98,0.00%,0
XP,16.41,0.00%,0
XNDU,11.27,0.00%,0
XNCR,16.11,0.00%,0
XMAX,8.81,0.00%,0
XIFR,12.40,0.00%,0
XHR,20.17,0.00%,0
XFOR,3.96,0.00%,0
XERS,8.62,0.00%,0
XE,16.60,0.00%,0
WYFI,38.84,0.00%,0
WY,22.50,0.00%,0
WWW,17.36,0.00%,0
WVE,6.31,0.00%,0
WULF,23.20,0.00%,0
WU,7.82,0.00%,0
WTTR,19.17,0.00%,0
WTRG,38.53,0.00%,0
WTI,3.41,0.00%,0
WT,19.86,0.00%,0
WSR,18.97,0.00%,0
WSE,12.77,0.00%,0
WSC,25.78,0.00%,0
WSBC,38.87,0.00%,0
WRN,2.20,0.00%,0
WRD,5.55,0.00%,0
WRBY,29.32,0.00%,0
WPP,17.34,0.00%,0
WOOF,2.55,0.00%,0
WOLF,37.25,0.00%,0
WNC,12.36,0.00%,0
WMG,29.14,0.00%,0
WLTH,9.31,0.00%,0
WKC,34.40,0.00%,0
WIX,49.24,0.00%,0
WIT,1.85,0.00%,0
WHR,37.86,0.00%,0
WGO,29.07,0.00%,0
WEST,7.16,0.00%,0
WES,44.87,0.00%,0
WERN,44.78,0.00%,0
WEN,7.59,0.00%,0
WEAV,6.77,0.00%,0
WDS,20.00,0.00%,0
WBI,34.54,0.00%,0
WBD,26.63,0.00%,0
WB,7.72,0.00%,0
WAY,23.18,0.00%,0
WAFD,37.77,0.00%,0
VZLA,3.16,0.00%,0
VZ,42.24,0.00%,0
VYX,7.99,0.00%,0
VVV,37.98,0.00%,0
VVR,2.99,0.00%,0
VTS,15.42,0.00%,0
VTRS,16.34,0.00%,0
VTEX,3.95,0.00%,0
VSTS,14.35,0.00%,0
VSTM,5.40,0.00%,0
VSNT,35.81,0.00%,0
VSH,44.04,0.00%,0
VRRM,4.22,0.00%,0
VRNS,45.81,0.00%,0
VRDN,20.20,0.00%,0
VOYG,32.64,0.00%,0
VOR,19.75,0.00%,0
VOD,13.08,0.00%,0
VNT,28.92,0.00%,0
VNOM,41.67,0.00%,0
VNO,38.09,0.00%,0
VNET,8.05,0.00%,0
VNDA,6.38,0.00%,0
VLY,14.66,0.00%,0
VLRS,8.48,0.00%,0
VKTX,41.14,0.00%,0
VIV,13.45,0.00%,0
VITL,12.96,0.00%,0
VISN,12.60,0.00%,0
VIR,10.34,0.00%,0
VIPS,13.85,0.00%,0
VICI,25.93,0.00%,0
VIAV,42.88,0.00%,0
VIA,18.31,0.00%,0
VGNT,40.72,0.00%,0
VG,12.53,0.00%,0
VFS,3.03,0.00%,0
VFC,16.53,0.00%,0
VET,9.47,0.00%,0
VERX,12.80,0.00%,0
VERA,42.45,0.00%,0
VELO,14.63,0.00%,0
VCEL,48.31,0.00%,0
VALE,14.22,0.00%,0
UWMC,2.08,0.00%,0
UUUU,13.49,0.00%,0
UTZ,7.71,0.00%,0
UTI,48.73,0.00%,0
USAS,4.46,0.00%,0
USAR,18.87,0.00%,0
USA,5.85,0.00%,0
UROY,2.65,0.00%,0
URGN,40.23,0.00%,0
URG,1.33,0.00%,0
UPWK,8.68,0.00%,0
UPST,33.23,0.00%,0
UPBD,20.32,0.00%,0
UPB,7.81,0.00%,0
UNIT,11.11,0.00%,0
UNFI,47.94,0.00%,0
UMH,15.28,0.00%,0
UMC,24.86,0.00%,0
UMAC,20.73,0.00%,0
ULCC,7.70,0.00%,0
UGP,5.81,0.00%,0
UGI,36.07,0.00%,0
UEC,10.16,0.00%,0
UE,22.72,0.00%,0
UDR,39.69,0.00%,0
UCB,35.26,0.00%,0
UBSI,45.93,0.00%,0
UAMY,6.62,0.00%,0
UAA,6.59,0.00%,0
UA,6.45,0.00%,0
U,30.73,0.00%,0
TYRA,33.01,0.00%,0
TXG,43.10,0.00%,0
TWO,12.07,0.00%,0
TWI,7.17,0.00%,0
TV,2.71,0.00%,0
TUYA,1.82,0.00%,0
TU,10.41,0.00%,0
TTI,9.42,0.00%,0
TTEK,30.94,0.00%,0
TTD,19.75,0.00%,0
TSSI,11.43,0.00%,0
TSLX,16.67,0.00%,0
TSHA,6.57,0.00%,0
TSCO,30.12,0.00%,0
TRVI,18.40,0.00%,0
TRTX,8.41,0.00%,0
TROX,6.11,0.00%,0
TRON,1.48,0.00%,0
TRN,34.83,0.00%,0
TRMD,28.06,0.00%,0
TRLV,8.84,0.00%,0
TRIP,13.33,0.00%,0
TRIN,17.44,0.00%,0
TREX,46.76,0.00%,0
TPG,42.63,0.00%,0
TOWN,35.57,0.00%,0
TOST,28.85,0.00%,0
TOI,5.85,0.00%,0
TNGX,30.52,0.00%,0
TNDM,15.37,0.00%,0
TMQ,3.25,0.00%,0
TME,8.85,0.00%,0
TMCI,4.66,0.00%,0
TMC,4.15,0.00%,0
TLS,4.93,0.00%,0
TLRY,4.39,0.00%,0
TLK,14.06,0.00%,0
TKC,5.65,0.00%,0
TK,10.66,0.00%,0
TILE,33.24,0.00%,0
TIGR,4.71,0.00%,0
TIC,7.51,0.00%,0
THM,2.19,0.00%,0
TH,18.44,0.00%,0
TGB,7.00,0.00%,0
