ticker,price,change,volume
ZYME,24.66,-1.12%,345,951
ZWS,47.51,1.24%,756,368
ZVRA,13.06,-0.91%,812,911
ZURA,5.06,-1.75%,791,748
ZTO,24.03,0.00%,1,068,463
ZNTL,4.77,3.25%,857,168
ZLAB,19.30,-1.63%,491,235
ZIP,3.96,0.25%,303,620
ZIM,24.40,2.52%,1,168,051
ZGN,13.02,-1.06%,789,208
ZG,31.80,-0.44%,1,225,289
ZETA,22.53,3.02%,7,751,270
ZBIO,28.78,3.23%,692,277
Z,31.86,-1.03%,2,722,315
YUMC,43.30,-1.37%,2,486,419
YSWY,20.14,-4.37%,191,715
YSS,21.26,11.13%,1,565,355
YPF,49.80,0.61%,2,258,105
YMM,8.64,0.82%,5,760,533
YEXT,5.43,4.22%,1,637,909
YETI,47.34,-2.05%,846,105
YELP,25.58,-2.96%,1,116,022
XXI,5.31,3.71%,1,383,645
XRX,2.73,-1.44%,1,898,434
XRAY,12.70,-0.63%,5,688,440
XPRO,16.35,4.94%,1,178,222
XPEV,13.36,3.17%,4,192,303
XP,16.87,3.05%,7,029,405
XNDU,11.10,5.71%,987,919
XNCR,14.95,-0.07%,581,678
XMAX,8.61,0.82%,643,156
XIFR,12.34,1.73%,752,757
XHR,20.28,1.40%,717,184
XFOR,4.02,-0.74%,1,140,808
XERS,8.28,1.47%,1,219,395
XE,15.33,-0.65%,4,472,275
WYFI,31.13,-14.22%,6,266,244
WY,23.80,1.67%,5,347,759
WWW,17.67,-2.05%,866,235
WVE,6.13,3.03%,2,066,221
WULF,19.41,-7.08%,58,011,432
WU,7.88,0.13%,4,504,359
WTTR,20.32,3.94%,1,319,152
WTRG,38.59,0.00%,1,655,470
WTI,3.59,1.13%,4,822,992
WT,19.53,2.95%,2,368,710
WSR,18.99,0.00%,0
WSE,12.55,-3.46%,843,260
WSC,26.84,2.01%,1,256,179
WSBC,39.10,-0.03%,1,306,350
WRN,2.22,3.74%,1,147,525
WRD,6.12,6.62%,4,039,195
