ticker,price,change,volume
ZZYME,24.19,-1.91%,458,798
ZZWS,48.38,1.57%,816,999
ZZVRA,12.76,-1.54%,1,084,258
ZZURA,5.25,-2.60%,789,475
ZZTO,24.59,0.16%,3,479,939
ZZNTL,4.57,-4.39%,568,280
ZZLAB,20.75,1.52%,654,372
ZZIP,4.11,-1.91%,442,124
ZZIM,24.51,-1.17%,1,043,302
ZZGN,14.43,7.37%,2,005,282
ZZG,33.99,0.74%,918,843
ZZETA,21.40,-4.51%,6,365,963
ZZBIO,28.24,-3.98%,884,133
ZZ,34.08,0.69%,2,748,785
YYUMC,44.33,2.69%,1,102,928
YYSWY,20.29,7.01%,505,234
YYSS,18.53,-3.84%,1,083,165
YYPF,48.45,-3.60%,1,087,240
YYMM,9.34,1.52%,8,914,244
YYEXT,5.45,-0.18%,1,232,981
YYELP,27.39,2.16%,908,516
XXXI,5.41,0.37%,776,790
XXRX,2.68,-0.74%,1,912,511
XXRAY,13.85,3.36%,5,370,664
XXPRO,16.73,1.76%,1,134,790
XXPOF,6.81,2.71%,858,545
XXPEV,14.04,1.89%,8,466,068
XXP,16.68,-1.13%,4,171,833
XXNDU,10.18,-6.26%,1,088,491
XXNCR,14.95,-0.20%,636,626
XXMAX,8.53,-1.16%,1,216,470
XXIFR,12.18,-2.79%,821,394
XXHR,20.75,0.73%,562,715
XXFOR,3.83,-1.79%,504,453
XXERS,8.69,-0.11%,1,572,215
XXE,13.83,-8.17%,6,958,688
WWYFI,25.80,-11.58%,2,883,013
WWY,24.45,2.26%,4,097,372
WWWW,18.73,3.25%,651,717
WWVE,5.67,-4.06%,2,461,816
WWULF,17.98,-7.18%,38,759,870
WWU,8.34,3.73%,7,771,503
WWTTR,19.84,-0.70%,1,015,725
WWTRG,39.47,4.06%,2,705,822
WWTI,3.33,-2.35%,2,524,178
WWT,20.16,0.75%,2,288,090
WWSR,18.99,0.00%,0
WWSE,12.92,0.16%,911,006
WWSC,26.95,-1.10%,1,397,919
WWSBC,41.18,4.20%,1,277,479
WWRN,2.07,-4.61%,1,107,259
WWRD,6.15,-0.49%,2,386,416
WWRBY,27.59,-1.15%,2,565,199
WWOOF,2.67,3.09%,1,425,042
WWOLF,31.18,-11.17%,3,884,716
WWNC,12.54,-0.79%,6,498,352
WWMG,28.55,0.85%,1,436,591
WWLTH,9.45,-0.16%,567,832
WWKC,36.95,0.14%,2,712,447
WWIT,1.85,0.54%,6,551,309
WWHR,39.89,3.40%,1,558,657
WWGO,31.31,2.66%,557,479
WWEST,7.66,6.54%,505,090
WWES,46.07,1.54%,367,598
WWERN,45.99,5.46%,957,476
WWEN,7.83,5.10%,9,415,829
WWEAV,7.35,0.00%,1,011,129
WWDS,20.60,-1.34%,772,801
WWBI,34.87,0.98%,590,386
WWBD,27.29,0.07%,21,639,732
WWB,7.85,1.42%,1,118,852
WWAY,23.17,2.12%,2,404,226
WWAFD,39.32,2.42%,789,094
VVZLA,3.07,-4.06%,6,820,970
VVZ,43.88,2.45%,25,260,370
VVYX,8.29,4.02%,1,591,705
VVVV,40.27,2.26%,3,034,461
VVVR,2.98,0.68%,679,933
VVTS,15.66,0.38%,401,451
VVTRS,17.33,3.90%,9,478,697
VVTEX,3.98,-0.50%,1,258,352
VVSTS,16.42,5.87%,2,451,150
VVSTM,5.77,0.70%,1,985,572
VVSNT,36.35,0.89%,1,904,770
VVSH,36.44,-9.91%,7,932,243
VVRRM,4.26,-0.70%,2,699,066
VVRNS,47.00,-0.70%,1,286,647
VVRDN,18.03,-5.40%,2,097,591
VVOYG,25.03,-5.90%,2,188,384
VVOR,17.34,-4.09%,849,886
VVOD,15.62,3.58%,5,279,753
VVNT,30.60,3.10%,1,440,820
VVNOM,44.06,1.71%,1,836,118
VVNO,40.76,2.28%,1,268,126
VVNET,7.72,-2.03%,1,400,088
VVNDA,5.45,-6.84%,1,139,403
VVLY,15.19,2.36%,8,407,893
VVLRS,7.87,-2.11%,339,867
VVKTX,36.37,-3.81%,1,529,156
VVIV,13.90,-0.22%,945,639
VVITL,13.18,-3.02%,1,766,740
VVISN,12.08,-1.95%,4,690,471
VVIR,9.40,-2.19%,1,955,116
VVIPS,14.60,2.60%,3,376,033
VVICI,27.15,3.19%,5,448,516
VVIAV,36.93,-7.95%,5,522,839
VVIA,18.41,-1.50%,957,572
VVGNT,40.27,-1.27%,1,222,214
VVG,12.67,-1.86%,9,609,935
VVFS,3.11,0.65%,260,822
VVFC,17.48,1.39%,5,217,751
VVET,9.67,-1.23%,772,139
VVERX,13.16,3.30%,1,276,480
VVERA,39.12,-7.95%,1,611,168
VVELO,10.35,-7.72%,2,257,974
VVCEL,47.81,2.33%,406,308
VVALE,14.22,-3.07%,17,779,188
UUWMC,2.05,0.99%,12,208,640
UUUUU,11.67,-7.89%,12,372,803
UUTZ,7.48,0.94%,2,813,640
UUTI,40.57,0.60%,1,121,898
UUSAS,3.74,-7.20%,3,768,974
UUSAR,15.91,-8.09%,12,283,332
UUSA,5.80,-3.17%,1,683,245
UUROY,2.61,-5.43%,4,520,584
UURGN,40.00,0.50%,1,241,264
UURG,1.25,-5.30%,6,118,312
UUPWK,9.59,3.79%,3,880,219
UUPST,30.88,-2.25%,3,249,280
UUPBD,22.76,3.64%,902,029
UUPB,7.23,-0.55%,561,160
UUNIT,10.98,-1.88%,3,745,639
UUMH,15.88,3.93%,538,038
UUMC,22.29,-10.55%,20,902,065
UUMAC,16.64,-10.15%,4,021,785
UULCC,6.53,-0.15%,3,342,366
UUGP,6.24,2.63%,8,133,327
UUGI,36.85,1.74%,1,561,039
UUEC,9.33,-7.72%,11,486,473
UUE,23.63,3.87%,976,383
UUDR,40.57,2.81%,3,005,631
UUCB,37.09,3.03%,940,603
UUBSI,48.22,3.27%,1,052,587
UUAMY,5.33,-9.97%,10,944,341
UUAA,7.25,5.84%,9,219,341
UUA,7.09,5.82%,3,178,480
UU,30.19,-3.45%,4,633,056
TTYRA,31.61,-2.38%,473,666
TTXG,44.48,-2.78%,4,717,082
TTWO,12.10,0.08%,774,559
TTWI,7.84,2.62%,388,689
TTV,2.70,-1.10%,541,030
TTUYA,1.75,-1.69%,765,790
TTU,10.59,1.05%,9,422,735
TTTI,9.03,-3.63%,1,551,840
TTTEK,32.03,2.23%,2,507,317
TTTD,19.12,-1.29%,8,566,805
TTSLX,17.71,1.66%,334,771
TTSHA,5.97,-3.55%,4,158,228
TTSCO,31.01,2.78%,13,726,448
TTRVI,17.36,-4.33%,3,119,650
TTRTX,8.77,2.33%,624,946
TTROX,5.77,-4.94%,1,588,548
TTRON,1.40,-2.78%,435,399
TTRN,37.13,2.97%,672,494
TTRMD,29.40,-0.81%,438,968
TTRLV,8.41,-2.55%,889,838
TTRIP,14.89,1.99%,4,038,016
TTRIN,17.90,1.02%,1,060,856
TTREX,45.81,5.02%,2,918,441
TTPG,44.16,-0.74%,1,209,411
TTOWN,36.99,2.47%,1,219,925
TTOST,30.33,-0.20%,8,228,285
TTOI,5.26,-7.07%,2,560,325
TTNGX,27.64,-8.63%,3,744,718
TTNDM,16.29,6.61%,1,983,100
TTMQ,2.97,-5.41%,2,393,705
TTME,9.24,4.29%,8,346,221
TTMC,3.76,-8.52%,6,566,943
TTLS,4.73,-2.07%,334,505
TTLRY,4.35,-0.68%,3,039,405
TTLK,14.27,0.92%,612,167
TTKC,5.97,1.36%,1,155,598
TTK,10.94,-0.55%,573,823
TTILE,33.99,1.74%,391,217
TTIGR,4.63,-1.70%,1,327,099
TTIC,6.92,-3.35%,2,469,437
TTHM,1.99,-7.44%,459,525
TTH,16.87,-1.06%,843,031
TTGB,6.91,-7.12%,4,162,572
TTFSL,18.44,3.25%,812,713
TTFPM,27.16,-0.88%,591,918
TTEVA,32.22,2.09%,4,453,699
TTEO,13.31,-3.41%,186,480
TTENX,15.08,-1.69%,925,811
TTENB,39.77,-1.05%,3,128,689
TTE,5.94,-10.81%,44,953,936
TTDUP,6.74,1.35%,1,059,906
TTDS,34.35,0.79%,836,979
TTDOC,9.47,-2.57%,3,741,699
TTDC,30.93,-1.21%,1,840,748
TTDAY,8.68,1.28%,1,529,017
TTCOM,43.75,2.05%,3,034,304
TTBPH,16.97,0.24%,317,515
TTBLA,5.41,-0.55%,2,074,079
TTBBB,40.18,1.26%,535,355
TTASK,5.97,0.00%,593,464
TTAP,41.78,5.48%,3,902,547
TTALO,14.12,1.00%,1,651,088
TTALK,5.22,0.19%,1,574,075
TTAL,10.22,-2.20%,3,555,137
TTAK,16.73,1.70%,5,977,071
TTAC,13.24,-2.79%,745,645
TT,21.98,2.57%,85,226,603
SSYM,41.98,-1.55%,1,354,482
SSXC,8.45,-1.17%,1,559,853
SSWMR,35.76,-5.10%,398,276
