ticker,price,change,volume
ZZYME,24.19,0.00%,444,694
ZZWS,47.73,-1.34%,1,351,746
ZZVRA,12.77,0.08%,655,697
ZZURA,5.45,3.81%,758,448
ZZTO,23.92,-2.72%,1,099,868
ZZNTL,5.11,11.82%,3,554,226
ZZLAB,20.20,-2.65%,958,633
ZZIP,3.96,-3.65%,440,177
ZZIM,24.30,-0.86%,661,511
ZZGN,13.90,-3.67%,1,354,583
ZZG,33.71,-0.82%,907,092
ZZETA,21.68,1.31%,9,419,461
ZZBIO,29.53,4.57%,769,460
ZZ,33.90,-0.51%,3,005,457
YYUMC,43.87,-1.04%,1,344,462
YYSWY,20.89,2.96%,204,802
YYSS,17.93,-3.24%,831,835
YYPF,49.68,2.54%,986,441
YYMM,9.14,-2.14%,6,562,326
YYEXT,5.34,-2.02%,1,054,331
YYELP,26.22,-4.27%,952,848
XXXI,5.34,-1.29%,612,820
XXRX,2.77,3.36%,1,508,723
XXRAY,14.05,1.44%,6,070,086
XXPRO,16.48,-1.49%,1,118,393
XXPEV,13.53,-3.63%,7,371,644
XXP,16.67,-0.06%,3,731,616
XXNDU,9.99,-1.87%,1,752,444
XXNCR,17.47,16.86%,1,684,195
XXMAX,8.51,-0.23%,530,047
XXIFR,12.02,-1.31%,780,155
XXHR,21.00,1.20%,495,093
XXFOR,3.82,-0.26%,461,940
XXERS,8.80,1.27%,1,610,318
XXE,14.02,1.37%,5,157,525
WWYFI,25.15,-2.52%,2,453,952
WWY,24.49,0.16%,6,188,520
WWWW,18.37,-1.92%,546,007
WWVE,5.82,2.65%,2,120,299
WWULF,18.16,1.00%,37,050,555
WWU,8.88,6.47%,23,224,590
WWTTR,20.33,2.47%,2,179,402
WWTRG,39.69,0.56%,2,799,310
WWTI,3.49,4.80%,4,623,250
WWT,20.05,-0.55%,2,212,682
WWSR,18.99,0.00%,0
WWSE,12.62,-2.32%,2,139,673
WWSC,27.23,1.02%,1,665,461
WWSBC,40.80,-0.92%,1,180,342
WWRN,2.13,2.90%,1,747,816
WWRD,5.98,-2.76%,3,022,668
WWRBY,26.41,-4.28%,2,672,794
WWOOF,2.66,-0.37%,1,129,960
WWOLF,29.89,-4.14%,4,725,513
WWNC,13.44,7.18%,1,324,389
WWMG,28.33,-0.77%,1,367,733
WWLTH,9.26,-2.06%,600,123
WWKC,36.50,-1.22%,1,092,911
WWIT,1.86,0.54%,4,826,069
WWHR,38.24,-4.14%,1,880,187
WWGO,30.70,-1.95%,514,338
WWEST,7.68,0.26%,413,843
WWES,45.97,-0.22%,466,244
WWERN,46.04,0.11%,1,625,168
WWEN,7.76,-0.89%,10,066,936
WWEAV,7.23,-1.63%,858,952
WWDS,21.72,5.44%,633,237
WWBI,34.71,-0.46%,1,232,801
WWBD,26.87,-1.54%,28,132,048
WWB,7.75,-1.27%,736,905
WWAY,22.27,-3.88%,2,202,482
WWAFD,38.12,-3.05%,1,352,290
VVZLA,3.07,0.00%,5,072,412
VVZ,43.59,-0.66%,31,014,419
