ticker,price,change,volume
ZZYME,23.76,-1.78%,437,382
ZZWS,47.80,0.15%,1,346,415
ZZVRA,12.03,-5.79%,1,139,130
ZZURA,5.26,-3.49%,798,271
ZZTO,24.15,0.96%,910,263
ZZNTL,5.01,-1.96%,1,783,414
ZZLAB,20.52,1.58%,436,849
ZZIP,3.99,0.76%,368,133
ZZIM,24.31,0.04%,571,308
ZZGN,13.95,0.36%,678,588
ZZG,32.84,-2.58%,1,005,685
ZZETA,21.34,-1.57%,5,320,522
ZZBIO,30.70,3.96%,883,399
ZZ,33.03,-2.58%,3,476,795
YYUMC,43.93,0.14%,1,168,971
YYSWY,20.15,-3.54%,178,242
YYSS,17.42,-2.84%,922,212
YYMM,9.25,1.20%,7,396,037
YYEXT,5.45,2.06%,934,517
YYELP,26.33,0.42%,610,944
XXXI,5.32,-0.37%,1,317,965
XXRX,2.61,-5.78%,2,108,833
XXRAY,13.46,-4.20%,4,866,591
XXPRO,16.02,-2.79%,975,601
XXPEV,13.19,-2.51%,6,490,133
XXP,16.80,0.78%,3,839,895
XXNDU,10.84,8.51%,1,385,051
XXNCR,18.81,7.67%,2,861,156
XXMAX,8.47,-0.47%,360,767
XXIFR,12.11,0.75%,650,680
XXHR,21.10,0.48%,496,932
XXFOR,3.68,-3.66%,729,886
XXERS,8.60,-2.27%,1,304,200
XXE,15.66,11.70%,4,310,309
WWYFI,27.13,7.87%,2,192,199
WWY,23.96,-2.16%,5,049,100
WWWW,18.62,1.36%,545,076
WWVE,5.73,-1.55%,1,332,134
WWULF,18.86,3.85%,35,586,755
WWU,8.66,-2.48%,10,497,207
WWTTR,20.41,0.39%,2,144,518
WWTRG,39.39,-0.76%,1,932,492
WWTI,3.51,0.57%,3,820,780
WWT,20.24,0.95%,2,760,727
WWSR,18.99,0.00%,0
WWSE,12.39,-1.82%,794,075
WWSC,26.09,-4.17%,2,133,448
WWSBC,40.53,-0.66%,850,538
WWRN,2.14,0.47%,1,615,379
WWRD,5.95,-0.50%,1,757,025
WWRBY,24.59,-6.89%,4,014,017
WWOOF,2.71,1.88%,1,312,507
WWOLF,29.38,-1.71%,2,421,431
WWNC,13.27,-1.26%,1,041,484
WWMG,28.06,-0.95%,1,522,388
WWLTH,9.38,1.30%,679,900
WWKC,35.70,-2.19%,1,089,196
WWIT,1.85,-0.54%,6,325,149
WWHR,36.91,-3.48%,2,525,583
WWGO,30.51,-0.62%,484,646
WWEST,7.29,-5.08%,339,594
WWES,46.61,1.39%,650,530
WWERN,46.31,0.59%,1,764,609
WWEN,7.85,1.16%,6,045,538
WWEAV,7.15,-1.11%,1,190,943
WWDS,21.65,-0.32%,1,604,936
WWBI,34.75,0.12%,889,195
WWBD,25.86,-3.76%,44,572,108
WWB,8.00,3.23%,1,016,584
WWAY,22.09,-0.81%,2,946,207
WWAFD,36.84,-3.36%,759,695
VVZLA,3.15,2.61%,3,658,418
VVZ,43.50,-0.21%,21,309,717
VVYX,8.09,-1.46%,1,646,944
VVVV,39.54,-1.08%,1,571,117
VVVR,3.00,1.35%,691,165
VVTS,15.77,-0.88%,353,536
VVTRS,16.99,-1.74%,7,852,888
VVTEX,4.19,-0.24%,872,220
VVSTS,16.14,-2.18%,1,684,009
VVSTM,5.75,-4.64%,2,523,718
VVSNT,35.96,0.17%,1,315,177
VVSH,37.37,-1.16%,4,918,409
VVRRM,4.07,-1.21%,3,211,112
VVRNS,47.45,-0.19%,1,285,621
VVRDN,18.56,2.94%,2,180,339
VVOYG,24.96,-3.63%,1,517,795
VVOR,17.45,-3.54%,663,443
VVOD,15.40,-2.16%,3,771,061
VVNT,29.79,-1.85%,925,928
VVNOM,44.36,-0.05%,1,388,925
VVNO,39.74,-1.49%,1,105,650
VVNET,7.68,3.86%,3,278,024
VVNDA,5.32,-2.21%,1,018,639
VVLY,14.67,-1.87%,5,580,072
VVLRS,7.77,1.44%,280,076
VVKTX,36.38,-1.89%,1,906,713
VVIV,14.03,0.57%,942,948
VVITL,13.76,1.55%,1,254,345
VVISN,11.91,-1.81%,7,931,586
VVIR,9.23,-2.12%,1,475,082
VVIPS,14.60,0.69%,1,701,632
VVICI,26.84,-0.11%,6,483,540
VVIAV,39.43,3.33%,4,356,485
VVIA,18.59,3.51%,568,355
VVGNT,40.02,0.02%,961,318
VVG,14.29,3.55%,23,498,071
VVFS,3.12,-0.95%,320,416
VVFC,16.88,-0.59%,5,767,621
VVET,9.74,-0.92%,806,728
VVERX,12.89,0.70%,1,518,544
VVERA,36.99,-3.92%,1,014,354
VVCEL,45.88,-1.63%,637,094
VVALE,14.10,-0.63%,14,992,743
UUWMC,1.89,-6.44%,21,583,096
UUUUU,11.74,2.18%,6,231,157
UUTZ,7.45,3.33%,1,728,845
UUTI,37.91,-5.95%,606,124
UUSAS,3.76,-0.53%,2,946,034
UUSAR,15.23,-2.68%,14,915,729
UUSA,5.77,0.35%,1,431,178
UUROY,2.76,-1.78%,2,189,606
UURGN,41.12,2.21%,550,141
UURG,1.21,-1.63%,8,769,752
UUPWK,9.33,2.98%,4,004,301
UUPST,28.82,-2.34%,2,747,370
UUPBD,21.69,-2.12%,720,542
UUPB,6.98,-0.43%,457,956
UUNIT,10.96,-0.72%,1,572,038
UUNFI,48.62,-0.98%,416,488
UUMH,15.60,-0.57%,331,855
UUMC,20.30,-4.47%,11,856,331
UUMAC,17.38,2.66%,1,784,155
UULCC,6.21,-0.32%,3,272,693
UUGP,6.23,-0.32%,6,034,109
UUGI,36.73,0.30%,825,751
UUEC,9.40,1.29%,7,245,442
UUE,23.52,-0.76%,970,149
UUDR,39.74,-0.05%,2,651,126
UUCB,36.03,-1.15%,878,651
UUBSI,47.18,-0.84%,1,037,231
UUAMY,5.36,-1.83%,6,249,898
UUAA,7.28,-2.02%,5,723,177
UUA,7.13,-2.06%,1,846,540
UU,29.81,2.83%,6,955,512
TTYRA,31.06,-3.35%,345,075
TTXG,43.22,-1.19%,2,380,466
TTWO,12.10,0.08%,1,147,231
TTWI,7.56,-1.31%,258,809
TTV,2.75,1.48%,1,282,726
TTUYA,1.74,0.00%,239,685
TTU,10.28,-1.15%,5,002,542
TTTI,8.87,-4.21%,1,219,524
TTTEK,31.27,-1.01%,1,949,822
TTTD,18.64,0.27%,11,168,461
TTSLX,17.08,-2.06%,661,509
TTSHA,5.58,-6.38%,1,673,299
TTSCO,30.30,-0.69%,7,134,855
TTRVI,16.77,-12.06%,3,052,833
TTRTX,8.67,-0.91%,647,328
TTROX,5.95,1.88%,2,166,843
TTRON,1.46,2.82%,549,964
TTRN,36.45,-0.05%,465,128
TTRMD,29.08,2.21%,371,291
TTRLV,8.76,-0.34%,568,479
TTRIP,14.41,-1.17%,2,394,634
TTRIN,17.69,-0.51%,1,231,537
TTREX,43.18,-4.32%,1,671,924
TTPG,42.97,-1.76%,1,699,037
TTOWN,36.41,-0.42%,568,356
TTOST,30.85,2.56%,8,530,207
TTOI,5.50,2.80%,1,012,546
TTNGX,27.54,-3.57%,1,256,508
TTNDM,18.10,5.97%,1,893,535
TTMQ,2.98,0.00%,1,064,063
TTME,9.17,0.55%,4,227,535
TTMC,3.72,-0.53%,3,514,507
TTLS,4.57,-3.38%,502,042
TTLRY,4.23,-1.63%,2,986,433
TTLK,14.96,2.33%,970,092
TTKC,5.82,1.75%,1,798,627
TTK,10.76,1.13%,671,333
TTILE,32.05,-3.06%,429,076
TTIGR,4.68,1.52%,899,791
TTIC,6.54,-4.53%,2,977,262
TTHM,2.00,-0.50%,594,111
TTH,16.39,0.18%,531,282
TTGB,7.02,3.54%,3,427,932
TTFSL,18.23,-0.27%,863,944
TTFPM,27.39,0.11%,353,731
TTEVA,31.00,-3.22%,4,468,022
TTEO,13.17,0.38%,151,101
TTENX,15.68,-1.07%,823,052
TTENB,37.76,-5.32%,2,704,766
TTEM,48.41,-7.74%,10,261,522
TTE,6.03,3.25%,51,033,379
TTDUP,6.59,-0.15%,1,331,325
TTDS,33.79,-1.54%,601,233
TTDOC,9.65,2.33%,3,569,152
TTDC,30.60,0.26%,2,589,020
TTDAY,8.42,-0.94%,914,996
TTCOM,44.19,4.10%,4,183,121
TTBPH,16.81,-0.71%,939,806
TTBLA,5.32,0.76%,2,210,243
TTBBB,41.24,1.23%,625,840
TTASK,5.82,-0.17%,329,199
TTAP,41.61,1.66%,3,128,534
TTALO,14.22,-4.69%,2,003,473
TTALK,5.21,0.00%,993,461
TTAL,10.31,0.68%,2,349,639
TTAK,17.05,-0.58%,4,811,502
TTAC,13.72,3.47%,942,223
TT,21.95,0.64%,87,659,141
SSYM,40.83,-1.02%,1,092,512
SSXC,8.36,-0.12%,1,078,304
SSWMR,39.08,6.95%,311,621
SSWIM,6.11,3.74%,575,846
SSWBI,15.01,1.01%,364,088
SSW,43.14,-2.62%,4,759,767
SSVV,9.76,-1.81%,378,680
SSVRA,5.49,-0.54%,1,364,992
SSVM,8.91,-0.11%,1,783,438
SSVC,8.76,1.86%,2,775,184
SSUZ,8.24,0.37%,1,801,736
SSUPV,9.65,-0.62%,239,914
SSUPN,47.42,-1.29%,618,820
SSTWD,16.60,-2.35%,3,351,145
SSTUB,9.27,0.22%,5,715,896
SSTTK,6.82,-9.43%,1,742,806
SSTOK,27.68,-4.72%,685,737
SSTNE,11.12,-0.27%,3,938,022
SSTLA,5.75,-0.69%,12,735,331
SSTGW,7.41,-1.33%,694,646
SSTEP,42.25,-2.99%,1,722,139
SSTDN,9.02,-13.27%,2,012,264
SSTAG,41.82,0.34%,1,618,482
SSTAA,23.97,-9.34%,2,896,458
SST,44.57,-1.07%,2,049,736
SSSYS,8.08,-0.74%,535,742
SSSRM,25.05,-2.03%,2,951,038
SSSL,11.45,0.70%,1,665,917
SSRTA,5.06,-1.75%,1,074,939
SSRPT,16.83,-2.26%,1,770,684
SSRAD,14.91,3.69%,2,559,111
SSPT,8.41,-2.44%,886,023
SSPRY,6.44,-8.00%,2,932,901
SSPNT,24.66,-0.96%,492,671
SSPIR,10.96,-9.72%,2,064,350
SSOUN,6.31,0.64%,41,114,945
SSONY,21.15,0.14%,5,229,894
